Serial Number,Device Name,Name,Status,Type,Reported at,Last audit run,Last audit log,Control reported at,Control log,Log
VMPODNSEMFFX,general-testing-vm,FileVault,pending,profile,,2021-10-25T17:58:02.037605Z,The profile installation has been initiated.,,,
VMCY7EHIUJ8U,macos-11.6.1-ad-general,FileVault,success,profile,2021-10-25T21:58:18.286602Z,2021-10-25T21:58:18.286613Z,"Profile is installed.
Profile Name: FileVault
Profile UUID: 016fdd36-4575-440f-958b-aac6812b9a95",2021-10-25T23:43:57Z,"Recovery Key Escrow Status: Awaiting Recovery Key
Disk Encryption Status: Not Encrypted
Deferral Info: Deferred enablement is active for user testuser","MDM Command Completed: Install Profile.
Profile Name: FileVault
Profile UUID: 016fdd36-4575-440f-958b-aac6812b9a95
Command Issued: 2021-10-25 at 21:31:10 (UTC)
Command Completed: 2021-10-25 at 21:56:35 (UTC)"
C02FL5YXQ6LC,testuserâ€™s MacBook Air,FileVault,success,profile,2021-10-25T18:08:30.857472Z,2021-10-25T18:08:30.857474Z,"Profile is installed.
Profile Name: FileVault
Profile UUID: 016fdd36-4575-440f-958b-aac6812b9a95",2021-10-25T22:38:20Z,"Recovery Key Escrow Status: Awaiting Recovery Key
Disk Encryption Status: Not Encrypted
Deferral Info: Deferred enablement is active for user testuser","MDM Command Completed: Install Profile.
Profile Name: FileVault
Profile UUID: 016fdd36-4575-440f-958b-aac6812b9a95
Command Issued: 2021-10-25 at 17:58:00 (UTC)
Command Completed: 2021-10-25 at 18:08:30 (UTC)"
VMP6P1TC8PPG,AVENGER VMp6p1TC8pPG,FileVault,pending,profile,,2021-10-25T17:58:01.671924Z,The profile installation has been initiated.,,,
VM0CJ7QW0S1Q,crowdstrike-falcon-test,FileVault,pending,profile,,2021-10-25T17:58:01.467873Z,The profile installation has been initiated.,,,
VMP4FUPM48DN,delete-user-test,FileVault,pending,profile,,2021-10-25T17:58:01.114981Z,The profile installation has been initiated.,,,
VMMPX2HWHR4Z,Internal - Matt Wilson - VMmPx2hwhR4z,FileVault,pending,profile,,2021-10-25T17:58:00.587914Z,The profile installation has been initiated.,2021-09-24T19:12:55Z,,
